Name#Source#ExAllocated#ExFreed#ExHeld#InAllocated#InFreed#InHeld
Global#No source,0#4#4#0#8000040#8000040#0
void __cdecl Foo23(void)#d:\work\memoryprofiler\test\testfunctions.cpp,541#80000#80000#0#6240000#6240000#0
void __cdecl Foo63(void)#d:\work\memoryprofiler\test\testfunctions.cpp,261#80000#80000#0#3040000#3040000#0
void __cdecl Foo91(void)#d:\work\memoryprofiler\test\testfunctions.cpp,65#80000#80000#0#800000#800000#0
void __cdecl Foo33(void)#d:\work\memoryprofiler\test\testfunctions.cpp,471#80000#80000#0#5440000#5440000#0
void __cdecl Foo45(void)#d:\work\memoryprofiler\test\testfunctions.cpp,387#80000#80000#0#4480000#4480000#0
void __cdecl Foo52(void)#d:\work\memoryprofiler\test\testfunctions.cpp,338#80000#80000#0#3920000#3920000#0
void __cdecl Foo9(void)#d:\work\memoryprofiler\test\testfunctions.cpp,639#80000#80000#0#7360000#7360000#0
void __cdecl Foo14(void)#d:\work\memoryprofiler\test\testfunctions.cpp,604#80000#80000#0#6960000#6960000#0
void __cdecl Foo87(void)#d:\work\memoryprofiler\test\testfunctions.cpp,93#80000#80000#0#1120000#1120000#0
void __cdecl Foo7(void)#d:\work\memoryprofiler\test\testfunctions.cpp,653#80000#80000#0#7520000#7520000#0
void __cdecl Foo43(void)#d:\work\memoryprofiler\test\testfunctions.cpp,401#80000#80000#0#4640000#4640000#0
void __cdecl Foo86(void)#d:\work\memoryprofiler\test\testfunctions.cpp,100#80000#80000#0#1200000#1200000#0
void __cdecl Foo6(void)#d:\work\memoryprofiler\test\testfunctions.cpp,660#80000#80000#0#7600000#7600000#0
void __cdecl Foo62(void)#d:\work\memoryprofiler\test\testfunctions.cpp,268#80000#80000#0#3120000#3120000#0
void __cdecl Foo82(void)#d:\work\memoryprofiler\test\testfunctions.cpp,128#80000#80000#0#1520000#1520000#0
void __cdecl Foo75(void)#d:\work\memoryprofiler\test\testfunctions.cpp,177#80000#80000#0#2080000#2080000#0
void __cdecl Foo90(void)#d:\work\memoryprofiler\test\testfunctions.cpp,72#80000#80000#0#880000#880000#0
void __cdecl Foo42(void)#d:\work\memoryprofiler\test\testfunctions.cpp,408#80000#80000#0#4720000#4720000#0
void __cdecl Foo40(void)#d:\work\memoryprofiler\test\testfunctions.cpp,422#80000#80000#0#4880000#4880000#0
void __cdecl Foo39(void)#d:\work\memoryprofiler\test\testfunctions.cpp,429#80000#80000#0#4960000#4960000#0
void __cdecl Foo48(void)#d:\work\memoryprofiler\test\testfunctions.cpp,366#80000#80000#0#4240000#4240000#0
void __cdecl Foo93(void)#d:\work\memoryprofiler\test\testfunctions.cpp,51#80000#80000#0#640000#640000#0
void __cdecl A(void)#d:\work\memoryprofiler\test\main.cpp,26#4#4#0#36#36#0
void __cdecl Foo24(void)#d:\work\memoryprofiler\test\testfunctions.cpp,534#80000#80000#0#6160000#6160000#0
void __cdecl Foo18(void)#d:\work\memoryprofiler\test\testfunctions.cpp,576#80000#80000#0#6640000#6640000#0
void __cdecl Foo11(void)#d:\work\memoryprofiler\test\testfunctions.cpp,625#80000#80000#0#7200000#7200000#0
void __cdecl Foo22(void)#d:\work\memoryprofiler\test\testfunctions.cpp,548#80000#80000#0#6320000#6320000#0
void __cdecl Foo74(void)#d:\work\memoryprofiler\test\testfunctions.cpp,184#80000#80000#0#2160000#2160000#0
void __cdecl Foo49(void)#d:\work\memoryprofiler\test\testfunctions.cpp,359#80000#80000#0#4160000#4160000#0
void __cdecl Foo25(void)#d:\work\memoryprofiler\test\testfunctions.cpp,527#80000#80000#0#6080000#6080000#0
void __cdecl Foo53(void)#d:\work\memoryprofiler\test\testfunctions.cpp,331#80000#80000#0#3840000#3840000#0
void __cdecl Foo81(void)#d:\work\memoryprofiler\test\testfunctions.cpp,135#80000#80000#0#1600000#1600000#0
void __cdecl Foo28(void)#d:\work\memoryprofiler\test\testfunctions.cpp,506#80000#80000#0#5840000#5840000#0
void __cdecl Foo92(void)#d:\work\memoryprofiler\test\testfunctions.cpp,58#80000#80000#0#720000#720000#0
void __cdecl Foo67(void)#d:\work\memoryprofiler\test\testfunctions.cpp,233#80000#80000#0#2720000#2720000#0
void __cdecl Foo21(void)#d:\work\memoryprofiler\test\testfunctions.cpp,555#80000#80000#0#6400000#6400000#0
void __cdecl Foo60(void)#d:\work\memoryprofiler\test\testfunctions.cpp,282#80000#80000#0#3280000#3280000#0
void __cdecl Foo84(void)#d:\work\memoryprofiler\test\testfunctions.cpp,114#80000#80000#0#1360000#1360000#0
void __cdecl Foo54(void)#d:\work\memoryprofiler\test\testfunctions.cpp,324#80000#80000#0#3760000#3760000#0
void __cdecl Foo78(void)#d:\work\memoryprofiler\test\testfunctions.cpp,156#80000#80000#0#1840000#1840000#0
void __cdecl Foo61(void)#d:\work\memoryprofiler\test\testfunctions.cpp,275#80000#80000#0#3200000#3200000#0
